Protein,p_val,avg_log2FC,p_val_adj,clone1,clone2
CD14,0.0118219533405725,-1.68709122983511,0.531987900325765,IDH-NPM1,WT
CD83,0.0175212895989116,0.32719961822649,0.788458031951021,IDH-NPM1,WT
CD304,0.0313012222343821,0.196037232269835,1,IDH-NPM1,WT
CD22,0.0412565596512373,-0.442008466164681,1,IDH-NPM1,WT
CD45RA,0.0480830832510609,-0.964533706595971,1,IDH-NPM1,WT
CD1c,0.0655569425462099,-0.641523385026446,1,IDH-NPM1,WT
CD11b,0.145014106455371,0.242112337859448,1,IDH-NPM1,WT
CD138,0.213781336211606,0.317253366721419,1,IDH-NPM1,WT
CD30,0.258447616248653,-0.0842052756629563,1,IDH-NPM1,WT
CD10,0.33495319843512,0.247278205692873,1,IDH-NPM1,WT
CD38,0.392476719053562,-0.0821857299921458,1,IDH-NPM1,WT
CD25,0.40680306162309,-0.0238043892497082,1,IDH-NPM1,WT
CD90,0.655073682453782,-0.389057854111392,1,IDH-NPM1,WT
CD62L,0.68814058822052,0.1879204248952,1,IDH-NPM1,WT
HLA-DR,0.890813641239608,-0.164235846161739,1,IDH-NPM1,WT
CD117,NA,2.23425429755746,NA,IDH-NPM1,WT
CD163,NA,-0.202240272395918,NA,IDH-NPM1,WT
CD34,NA,1.24317512140907,NA,IDH-NPM1,WT
CD45RO,NA,0.0964118530932856,NA,IDH-NPM1,WT
CD62P,NA,1.64873435595038,NA,IDH-NPM1,WT
CD71,NA,0.590344328005507,NA,IDH-NPM1,WT
Fc&#949;RI&#945;,NA,1.33263161187403,NA,IDH-NPM1,WT
IgG2a,NA,1.61184126583191,NA,IDH-NPM1,WT
IgG2b,NA,2.04903315072594,NA,IDH-NPM1,WT
CD16,0.00108371537009263,2.34374817693814,0.0487671916541682,IDH-NPM1,IDH-only
CD10,0.0124758248863847,1.36013462226578,0.56141211988731,IDH-NPM1,IDH-only
CD56,0.0647292144717269,0.851622896113435,1,IDH-NPM1,IDH-only
IgG1,0.0720464268329826,1.36576691434412,1,IDH-NPM1,IDH-only
CD19,0.0748585315761454,1.08086266445151,1,IDH-NPM1,IDH-only
CD4,0.130920662887289,-0.682080657257028,1,IDH-NPM1,IDH-only
CD303,0.143885751559213,0.622865570348972,1,IDH-NPM1,IDH-only
CD62L,0.207128476904587,-0.59000259095518,1,IDH-NPM1,IDH-only
CD138,0.208170929690128,0.74814892946945,1,IDH-NPM1,IDH-only
CD33,0.32863998121098,-0.360964437185533,1,IDH-NPM1,IDH-only
CD163,0.330752598234971,0.174608986553153,1,IDH-NPM1,IDH-only
CD44,0.355068087373824,-0.142252789232645,1,IDH-NPM1,IDH-only
CD123,0.37030407375003,-0.275952645176487,1,IDH-NPM1,IDH-only
CD22,0.470984982548121,0.557243089576648,1,IDH-NPM1,IDH-only
CD25,0.471248895533746,-0.0946725825908814,1,IDH-NPM1,IDH-only
CD90,0.499785328842029,-0.488309973236973,1,IDH-NPM1,IDH-only
Fc&#949;RI&#945;,0.509517392303546,-0.28529848671029,1,IDH-NPM1,IDH-only
CD11b,0.52934675628978,0.204051800203565,1,IDH-NPM1,IDH-only
CD14,0.53721429751315,0.417733700114447,1,IDH-NPM1,IDH-only
CD38,0.545912815193269,0.0188431681217409,1,IDH-NPM1,IDH-only
CD49d,0.588682166606441,0.00473184761457368,1,IDH-NPM1,IDH-only
CD8,0.626036276013202,0.68222393897009,1,IDH-NPM1,IDH-only
CD69,0.641582303067468,0.273898772157983,1,IDH-NPM1,IDH-only
HLA-DR,0.651291464080546,0.231846685191875,1,IDH-NPM1,IDH-only
CD45,0.658069325939484,0.32951131628686,1,IDH-NPM1,IDH-only
CD2,0.727996366244928,0.669490765677975,1,IDH-NPM1,IDH-only
CD7,0.729170151326002,0.198808132549071,1,IDH-NPM1,IDH-only
CD83,0.747462601172613,0.190816740876483,1,IDH-NPM1,IDH-only
CD30,0.773501696060878,-0.101786672171148,1,IDH-NPM1,IDH-only
CD141,0.783754374055747,0.324902757452644,1,IDH-NPM1,IDH-only
